"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"103","Pokémon - Pikachu Charmander Bulbasaur Squirtle Kanto Circle T-Shirt","http://www.amazon.com//dp/B0DBN56H54","Visit the Pokemon Store","1","27","$22.99","Clothing, Shoes &amp; Jewelry","101,997","17","$391","17 ","4.5","-"
"104","Disney Mickey And Friends Mickey Mouse Lean T-Shirt","http://www.amazon.com//dp/B082DYJF2Z","Visit the Disney Store","1","253","$22.99","Clothing, Shoes &amp; Jewelry","82,252","18","$414","1,548 ","4.7","-"
"105","Disney Mickey &amp; Friends Mickey Mouse Vintage Portrait T-Shirt","http://www.amazon.com//dp/B08JRX28CS","Visit the Disney Store","1","225","$22.99","Clothing, Shoes &amp; Jewelry","82,960","18","$414","450 ","4.4","-"
"106","Columbia Men's PFG Tamiami II UPF 40 Long Sleeve Fishing Shirt","http://www.amazon.com//dp/B07DQF2SYV","Visit the Columbia Store","1","298","$55.00","Clothing, Shoes &amp; Jewelry","3,860","251","$13,805","6 ","4.5","-"
"107","Star Wars Classic Bright Neon Poster Art Disney+ T-Shirt","http://www.amazon.com//dp/B07PKDV3VB","Visit the STAR WARS Store","1","354","$22.99","Clothing, Shoes &amp; Jewelry","94,670","17","$391","656 ","4.6","-"
"108","Disney A Goofy Movie Max &amp; Roxanne Eye To Eye Forever T-Shirt","http://www.amazon.com//dp/B08HTF5HXM","Brand: Whaline","1","253","$22.99","Clothing, Shoes &amp; Jewelry","129,375","17","$391","708 ","4.7","-"
"109","Star Wars Classic Epic Lightsabers Jedi Force Logo T-Shirt","http://www.amazon.com//dp/B0BX4HJW2F","Visit the STAR WARS Store","1","88","$22.99","Clothing, Shoes &amp; Jewelry","79,284","18","$414","123 ","4.7","-"
"110","Disney Pixar Cars Lightning McQueen Kachow! Retro Shot T-Shirt","http://www.amazon.com//dp/B0CSTCC565","Visit the Disney Store","1","267","$22.99","Clothing, Shoes &amp; Jewelry","113,446","17","$391","41 ","4.5","-"
"111","Disney Lilo &amp; Stitch Stitch Day Ohana Means Family T-Shirt","http://www.amazon.com//dp/B08CBKWY9D","Visit the Disney Store","1","83","$22.99","Clothing, Shoes &amp; Jewelry","83,409","18","$414","468 ","4.8","-"
"112","Disney Robin Hood Oo-De-Lally Iconic Quote Chest Text Logo T-Shirt","http://www.amazon.com//dp/B0D6WRY5M2","Visit the Disney Store","1","259","$22.99","Clothing, Shoes &amp; Jewelry","124,488","17","$391","14 ","4.3","-"
